episode,reward,avg_reward,max_q,reward_var
0,0.88471913,12.960141,0.08689799,
1,0.92548275,15.669649,0.24462828,
2,0.92305046,17.959549,0.17364798,
3,0.8603343,17.277306,0.15036803,
4,0.9205536,19.0425,0.39799088,
5,0.88509595,19.312613,0.34903648,
6,0.93853265,18.358994,0.30811217,
7,0.77685285,19.45007,0.6646645,
8,0.9209895,18.470232,0.4431132,
9,0.9156468,18.244923,1.0567805,
10,0.83624345,17.881432,1.3109086,
11,0.8893119,17.189123,1.0979433,
12,0.8577614,16.651012,0.97537434,
13,0.8692374,16.48394,1.3723025,
14,0.8660497,16.4663,1.2567035,
15,0.86305475,16.328308,1.8894637,
16,0.6900819,17.74037,1.7682437,
17,0.8705803,18.648687,1.6006974,
18,0.8306969,18.72762,2.4094477,
19,0.8890275,18.646416,1.2329082,
20,0.82690537,18.323112,1.6489383,
21,0.78272027,19.33447,0.9942171,
22,0.8902809,19.240124,1.423472,
23,0.7946699,19.034529,1.6301711,
24,0.6236385,20.442741,1.2464625,
25,0.91158336,20.664843,1.2512983,
26,0.95706874,21.02386,1.2536358,
27,0.8334147,21.063677,1.7903762,
28,0.8714967,20.6954,1.607505,
29,0.9061158,20.64408,1.6799192,
30,0.8104563,20.613073,1.3442591,
31,0.88615566,20.32949,1.4336575,
32,0.7806875,20.716204,1.4868197,
33,0.80867624,20.591263,1.2325034,
34,0.98277634,21.09268,1.5806037,
35,0.8386029,20.82365,1.5977263,
36,0.7311814,21.16818,1.3333486,
37,0.9307568,20.891655,1.3379407,
38,0.8608109,20.714512,1.3610373,
39,0.99209327,21.189749,1.3936815,
40,0.9046529,20.977942,1.2810684,
41,0.80737233,20.697922,1.4060984,
42,0.9079857,20.485537,1.1862592,
43,0.8829615,20.306314,1.5020025,
44,0.84491986,20.240566,1.0733904,
45,0.84682304,20.301016,1.1265286,
46,0.85830593,20.086569,1.3955958,
47,0.9027723,19.991217,1.4628651,
48,0.8813082,19.91979,1.3614956,
49,0.8426089,19.863117,1.3023189,0.00460110042877396
